Region,Symbol,Price,Score,RVol,RSI,Setup,Link
EU,BBVA.MC,19.03,75,0.34,65.5,"Perfect Trend Order, Volatility Squeeze, RSI Power Zone (65.5), Near All-Time-High",https://finance.yahoo.com/quote/BBVA.MC
ASIA,6920.T,32600.0,75,0.62,67.6,"Perfect Trend Order, Volatility Squeeze, RSI Power Zone (67.6), Near All-Time-High",https://finance.yahoo.com/quote/6920.T
